grid,solar,wind,planned
7652.06,11250.58,21036.01,8000.000000000001
6802.68,10573.59,20096.02,7428.571428571429
6783.49,10062.41,18183.18,6857.142857142859
6872.92,9571.47,17830.0,6285.714285714286
6900.43,9150.96,16600.53,5714.285714285716
6964.26,8737.59,15923.31,5142.857142857144
7023.77,8415.74,14181.51,4571.4285714285725
7205.49,8081.17,12847.34,4000.000000000001
7268.12,7860.66,11626.08,3900.000000000001
7260.18,7617.81,10958.14,3800.000000000001
7214.02,7429.02,10464.96,3700.000000000001
7263.36,7305.33,10344.16,3600.000000000001
7286.22,7150.81,10119.31,3500.000000000001
7325.18,6976.22,9932.1,3400.0000000000005
7231.62,6531.91,9190.69,3300.0000000000005
7149.33,6190.15,8781.5,3200.0000000000005
7036.5,5874.3,8391.9,3100.0000000000005
6895.47,5581.55,8020.63,3000.0
6715.1,5309.61,7666.47,2950.0
6520.01,5056.28,7329.13,2900.0
6311.68,4819.39,7007.42,2850.0
6092.71,4597.27,6700.62,2800.0
5864.53,4388.77,6407.6,2750.0
5629.83,4192.3,6128.11,2700.0
5390.39,4006.75,5861.05,2650.0
5148.74,3831.49,5605.77,2600.0
4906.7,3665.03,5362.07,2550.0
4666.11,3507.21,5129.32,2500.0
